# Force coefficients
# liftDir    : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis  : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf    : 1.500000e+01
# lRef       : 5.000000e-01
# Aref       : 1.000000e-01
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
100          	1.719276e-02	1.637405e-02	5.957137e-02	4.697844e-02	1.259293e-02
200          	1.450022e-02	1.380973e-02	6.307483e-02	4.603764e-02	1.703719e-02
300          	1.343146e-02	1.279187e-02	6.308716e-02	4.497504e-02	1.811212e-02
400          	1.301881e-02	1.239887e-02	6.513175e-02	4.558468e-02	1.954706e-02
500          	1.297459e-02	1.235675e-02	6.926343e-02	4.760630e-02	2.165713e-02
600          	1.299291e-02	1.237420e-02	7.248157e-02	4.923370e-02	2.324787e-02
700          	1.300105e-02	1.238195e-02	7.488290e-02	5.044250e-02	2.444040e-02
800          	1.299673e-02	1.237784e-02	7.639241e-02	5.119293e-02	2.519948e-02
900          	1.299112e-02	1.237250e-02	7.725191e-02	5.161708e-02	2.563483e-02
1000         	1.298775e-02	1.236929e-02	7.781508e-02	5.189529e-02	2.591979e-02
1100         	1.298602e-02	1.236764e-02	7.825548e-02	5.211377e-02	2.614172e-02
1200         	1.298489e-02	1.236656e-02	7.860439e-02	5.228708e-02	2.631730e-02
1300         	1.298407e-02	1.236578e-02	7.887175e-02	5.241994e-02	2.645180e-02
1400         	1.298336e-02	1.236510e-02	7.906621e-02	5.251647e-02	2.654975e-02
1500         	1.298279e-02	1.236456e-02	7.920148e-02	5.258353e-02	2.661795e-02
1600         	1.298235e-02	1.236414e-02	7.929536e-02	5.263003e-02	2.666534e-02
1700         	1.298204e-02	1.236385e-02	7.936212e-02	5.266310e-02	2.669902e-02
1800         	1.298199e-02	1.236380e-02	7.940973e-02	5.268686e-02	2.672287e-02
1900         	1.298183e-02	1.236365e-02	7.944398e-02	5.270382e-02	2.674016e-02
2000         	1.298163e-02	1.236346e-02	7.946886e-02	5.271606e-02	2.675280e-02
2100         	1.298154e-02	1.236337e-02	7.948461e-02	5.272385e-02	2.676076e-02
2200         	1.298150e-02	1.236333e-02	7.949668e-02	5.272984e-02	2.676684e-02
2300         	1.298145e-02	1.236329e-02	7.950579e-02	5.273435e-02	2.677145e-02
2400         	1.298141e-02	1.236325e-02	7.951289e-02	5.273786e-02	2.677503e-02
2500         	1.298139e-02	1.236323e-02	7.951812e-02	5.274045e-02	2.677767e-02
2600         	1.298136e-02	1.236320e-02	7.952248e-02	5.274260e-02	2.677988e-02
2700         	1.298135e-02	1.236319e-02	7.952601e-02	5.274436e-02	2.678166e-02
2800         	1.298134e-02	1.236318e-02	7.952905e-02	5.274586e-02	2.678319e-02
2900         	1.298133e-02	1.236317e-02	7.953149e-02	5.274707e-02	2.678442e-02
3000         	1.298132e-02	1.236316e-02	7.953344e-02	5.274804e-02	2.678540e-02
3100         	1.298132e-02	1.236316e-02	7.953485e-02	5.274874e-02	2.678611e-02
3200         	1.298131e-02	1.236316e-02	7.953608e-02	5.274935e-02	2.678673e-02
3300         	1.298130e-02	1.236314e-02	7.953692e-02	5.274976e-02	2.678716e-02
3400         	1.298129e-02	1.236314e-02	7.953757e-02	5.275008e-02	2.678749e-02
3500         	1.298130e-02	1.236315e-02	7.953800e-02	5.275030e-02	2.678770e-02
3600         	1.298130e-02	1.236314e-02	7.953860e-02	5.275060e-02	2.678800e-02
