# Forces     
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
100          	((5.682219e-02 3.111901e+00 9.814911e-21) (7.487265e-02 2.166218e-03 -8.738970e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.633748e+00 2.983165e-02 1.153049e+00) (-1.137264e-03 3.930814e-02 -9.671152e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
200          	((-3.986891e-03 3.285428e+00 -8.028489e-21) (6.342448e-02 3.367064e-03 -7.365476e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.724849e+00 -2.093118e-03 1.143664e+00) (-1.767709e-03 3.329785e-02 -4.571467e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
300          	((-2.494666e-02 3.237304e+00 -6.684662e-21) (6.277742e-02 3.721718e-03 -7.013391e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.699584e+00 -1.309700e-02 1.092825e+00) (-1.953902e-03 3.295815e-02 -3.738835e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
400          	((-3.466751e-02 3.220439e+00 -5.310786e-21) (6.355323e-02 3.724442e-03 -6.996830e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.690730e+00 -1.820044e-02 1.065963e+00) (-1.955332e-03 3.336545e-02 -4.746136e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
500          	((-4.011190e-02 3.234655e+00 -5.203350e-21) (6.429401e-02 3.586258e-03 -6.952745e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.698194e+00 -2.105875e-02 1.057493e+00) (-1.882785e-03 3.375436e-02 -6.600461e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
600          	((-4.431526e-02 3.348046e+00 -7.348877e-21) (6.478275e-02 3.486671e-03 -6.820420e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.757724e+00 -2.326551e-02 1.107871e+00) (-1.830502e-03 3.401094e-02 -8.086581e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
700          	((-4.993505e-02 3.479214e+00 -1.182714e-20) (6.505260e-02 3.481926e-03 -6.600409e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.826588e+00 -2.621590e-02 1.164579e+00) (-1.828011e-03 3.415261e-02 -8.884209e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
800          	((-5.492817e-02 3.565290e+00 -1.561797e-20) (6.517947e-02 3.513769e-03 -6.415040e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.871777e+00 -2.883729e-02 1.198826e+00) (-1.844729e-03 3.421922e-02 -9.276031e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
900          	((-5.824129e-02 3.613285e+00 -1.797195e-20) (6.523006e-02 3.541789e-03 -6.300233e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.896975e+00 -3.057668e-02 1.216581e+00) (-1.859439e-03 3.424578e-02 -9.502110e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
1000         	((-6.029871e-02 3.639957e+00 -1.932599e-20) (6.524553e-02 3.556158e-03 -6.233470e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.910978e+00 -3.165682e-02 1.225662e+00) (-1.866983e-03 3.425390e-02 -9.679976e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
