# Force coefficients
# liftDir    : (2.588200e-01 9.659300e-01 0.000000e+00)
# dragDir    : (9.659300e-01 2.588200e-01 0.000000e+00)
# pitchAxis  : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf    : 1.500000e+01
# lRef       : 5.000000e-01
# Aref       : 1.000000e-01
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
100          	-5.138504e-02	1.154340e-01	5.945568e-01	2.458933e-01	3.486634e-01
200          	-7.667283e-02	9.939601e-02	6.152879e-01	2.309711e-01	3.843168e-01
300          	-7.987670e-02	9.169526e-02	5.967582e-01	2.185024e-01	3.782558e-01
400          	-7.814112e-02	8.964304e-02	5.835684e-01	2.136431e-01	3.699253e-01
500          	-7.582760e-02	8.691051e-02	5.659979e-01	2.071713e-01	3.588265e-01
600          	-7.374884e-02	8.421140e-02	5.493002e-01	2.009012e-01	3.483989e-01
700          	-7.240191e-02	8.346165e-02	5.422097e-01	1.987030e-01	3.435068e-01
800          	-7.208333e-02	8.359552e-02	5.416941e-01	1.987637e-01	3.429304e-01
900          	-7.231637e-02	8.373332e-02	5.429510e-01	1.991592e-01	3.437919e-01
1000         	-7.268212e-02	8.386647e-02	5.446135e-01	1.996246e-01	3.449889e-01
1100         	-7.303919e-02	8.401951e-02	5.463225e-01	2.001221e-01	3.462005e-01
1200         	-7.333887e-02	8.412918e-02	5.476868e-01	2.005046e-01	3.471823e-01
1300         	-7.355735e-02	8.418333e-02	5.485852e-01	2.007352e-01	3.478499e-01
1400         	-7.370082e-02	8.420773e-02	5.491335e-01	2.008659e-01	3.482676e-01
1500         	-7.379037e-02	8.421964e-02	5.494633e-01	2.009413e-01	3.485220e-01
1600         	-7.384389e-02	8.422636e-02	5.496589e-01	2.009856e-01	3.486733e-01
1700         	-7.387240e-02	8.422398e-02	5.497409e-01	2.009980e-01	3.487428e-01
1800         	-7.388833e-02	8.422303e-02	5.497881e-01	2.010057e-01	3.487824e-01
1900         	-7.389858e-02	8.422315e-02	5.498212e-01	2.010120e-01	3.488092e-01
2000         	-7.390489e-02	8.422353e-02	5.498427e-01	2.010165e-01	3.488263e-01
2100         	-7.390981e-02	8.422107e-02	5.498492e-01	2.010148e-01	3.488344e-01
