# Force coefficients
# liftDir    : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis  : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf    : 1.500000e+01
# lRef       : 5.000000e-01
# Aref       : 4.000000e-01
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
100          	5.898741e-03	5.617848e-03	1.377924e-02	1.278836e-02	9.908814e-04
200          	5.580217e-03	5.314492e-03	1.452013e-02	1.284028e-02	1.679849e-03
300          	5.387788e-03	5.131227e-03	1.489804e-02	1.283681e-02	2.061233e-03
400          	5.297649e-03	5.045380e-03	1.540491e-02	1.300011e-02	2.404809e-03
500          	5.267612e-03	5.016773e-03	1.620722e-02	1.337122e-02	2.835998e-03
600          	5.259347e-03	5.008902e-03	1.699458e-02	1.375663e-02	3.237940e-03
700          	5.256116e-03	5.005825e-03	1.756586e-02	1.403905e-02	3.526815e-03
800          	5.253609e-03	5.003437e-03	1.797562e-02	1.424142e-02	3.734202e-03
900          	5.251238e-03	5.001179e-03	1.826506e-02	1.438377e-02	3.881292e-03
1000         	5.249337e-03	4.999369e-03	1.846046e-02	1.447957e-02	3.980893e-03
1100         	5.248046e-03	4.998139e-03	1.859766e-02	1.454688e-02	4.050786e-03
1200         	5.247226e-03	4.997358e-03	1.870176e-02	1.459811e-02	4.103657e-03
1300         	5.246693e-03	4.996851e-03	1.878406e-02	1.463872e-02	4.145335e-03
1400         	5.246312e-03	4.996487e-03	1.884871e-02	1.467067e-02	4.178044e-03
1500         	5.246029e-03	4.996218e-03	1.889848e-02	1.469527e-02	4.203212e-03
1600         	5.245809e-03	4.996008e-03	1.893613e-02	1.471387e-02	4.222257e-03
1700         	5.245643e-03	4.995850e-03	1.896423e-02	1.472776e-02	4.236472e-03
1800         	5.245517e-03	4.995731e-03	1.898510e-02	1.473807e-02	4.247032e-03
1900         	5.245433e-03	4.995650e-03	1.900054e-02	1.474570e-02	4.254838e-03
2000         	5.245409e-03	4.995628e-03	1.901170e-02	1.475126e-02	4.260441e-03
2100         	5.245354e-03	4.995575e-03	1.902019e-02	1.475545e-02	4.264741e-03
2200         	5.245282e-03	4.995507e-03	1.902642e-02	1.475849e-02	4.267930e-03
2300         	5.245250e-03	4.995476e-03	1.903085e-02	1.476068e-02	4.270178e-03
2400         	5.245231e-03	4.995458e-03	1.903435e-02	1.476240e-02	4.271942e-03
2500         	5.245213e-03	4.995441e-03	1.903694e-02	1.476368e-02	4.273259e-03
2600         	5.245199e-03	4.995428e-03	1.903908e-02	1.476474e-02	4.274342e-03
2700         	5.245188e-03	4.995417e-03	1.904083e-02	1.476560e-02	4.275227e-03
2800         	5.245179e-03	4.995408e-03	1.904219e-02	1.476627e-02	4.275916e-03
2900         	5.245170e-03	4.995400e-03	1.904335e-02	1.476685e-02	4.276507e-03
3000         	5.245165e-03	4.995395e-03	1.904433e-02	1.476733e-02	4.276999e-03
3100         	5.245160e-03	4.995391e-03	1.904515e-02	1.476774e-02	4.277416e-03
3200         	5.245157e-03	4.995387e-03	1.904584e-02	1.476807e-02	4.277761e-03
3300         	5.245154e-03	4.995385e-03	1.904640e-02	1.476835e-02	4.278044e-03
3400         	5.245151e-03	4.995382e-03	1.904686e-02	1.476858e-02	4.278280e-03
3500         	5.245148e-03	4.995379e-03	1.904726e-02	1.476878e-02	4.278482e-03
3600         	5.245148e-03	4.995379e-03	1.904756e-02	1.476893e-02	4.278631e-03
