# Force coefficients
# liftDir    : (7.000000e-02 9.976000e-01 0.000000e+00)
# dragDir    : (9.976000e-01 7.000000e-02 0.000000e+00)
# pitchAxis  : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf    : 1.500000e+01
# lRef       : 5.000000e-01
# Aref       : 4.000000e-01
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
100          	4.545953e-03	8.009080e-03	5.289072e-02	3.099131e-02	2.189941e-02
200          	3.625717e-03	7.397415e-03	5.657247e-02	3.191195e-02	2.466052e-02
300          	3.249277e-03	7.058287e-03	5.681139e-02	3.165497e-02	2.515642e-02
400          	3.075032e-03	6.891881e-03	5.678757e-02	3.146881e-02	2.531875e-02
500          	2.979143e-03	6.827801e-03	5.716629e-02	3.156229e-02	2.560400e-02
600          	2.912875e-03	6.830328e-03	5.809516e-02	3.196046e-02	2.613471e-02
700          	2.856432e-03	6.877417e-03	5.952675e-02	3.261981e-02	2.690694e-02
800          	2.797919e-03	6.923412e-03	6.097061e-02	3.328322e-02	2.768739e-02
900          	2.743115e-03	6.946486e-03	6.203786e-02	3.376204e-02	2.827581e-02
1000         	2.701503e-03	6.954924e-03	6.271877e-02	3.406089e-02	2.865788e-02
1100         	2.672653e-03	6.957441e-03	6.314336e-02	3.424433e-02	2.889902e-02
1200         	2.652949e-03	6.958192e-03	6.341953e-02	3.436272e-02	2.905682e-02
1300         	2.639412e-03	6.959180e-03	6.361602e-02	3.444742e-02	2.916860e-02
1400         	2.629646e-03	6.960695e-03	6.376918e-02	3.451424e-02	2.925495e-02
1500         	2.622288e-03	6.962492e-03	6.389393e-02	3.456925e-02	2.932468e-02
1600         	2.616553e-03	6.964086e-03	6.399392e-02	3.461351e-02	2.938041e-02
1700         	2.612079e-03	6.965256e-03	6.407088e-02	3.464752e-02	2.942336e-02
1800         	2.608637e-03	6.966012e-03	6.412802e-02	3.467265e-02	2.945537e-02
1900         	2.606080e-03	6.966518e-03	6.416970e-02	3.469093e-02	2.947877e-02
2000         	2.604186e-03	6.966849e-03	6.419993e-02	3.470415e-02	2.949578e-02
2100         	2.602793e-03	6.967112e-03	6.422244e-02	3.471401e-02	2.950843e-02
2200         	2.601872e-03	6.967310e-03	6.423768e-02	3.472071e-02	2.951697e-02
2300         	2.601137e-03	6.967446e-03	6.424951e-02	3.472589e-02	2.952362e-02
2400         	2.600539e-03	6.967503e-03	6.425839e-02	3.472973e-02	2.952865e-02
2500         	2.600133e-03	6.967562e-03	6.426469e-02	3.473248e-02	2.953221e-02
2600         	2.599842e-03	6.967618e-03	6.426941e-02	3.473454e-02	2.953486e-02
2700         	2.599617e-03	6.967652e-03	6.427292e-02	3.473608e-02	2.953684e-02
2800         	2.599433e-03	6.967681e-03	6.427583e-02	3.473735e-02	2.953848e-02
2900         	2.599281e-03	6.967700e-03	6.427814e-02	3.473835e-02	2.953979e-02
3000         	2.599164e-03	6.967720e-03	6.428000e-02	3.473916e-02	2.954084e-02
3100         	2.599061e-03	6.967729e-03	6.428151e-02	3.473982e-02	2.954170e-02
3200         	2.598989e-03	6.967746e-03	6.428273e-02	3.474035e-02	2.954238e-02
3300         	2.598921e-03	6.967754e-03	6.428377e-02	3.474081e-02	2.954296e-02
3400         	2.598871e-03	6.967763e-03	6.428456e-02	3.474115e-02	2.954341e-02
3500         	2.598822e-03	6.967767e-03	6.428527e-02	3.474146e-02	2.954381e-02
3600         	2.598783e-03	6.967777e-03	6.428595e-02	3.474176e-02	2.954419e-02
