# Forces     
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
100          	((-3.301258e-01 7.740147e+00 -2.555327e-19) (7.776942e-02 7.145338e-03 -4.581212e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.063577e+00 -1.733160e-01 2.501910e+00) (-3.751303e-03 4.082895e-02 -4.149939e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
200          	((-5.817798e-01 8.302990e+00 -4.072710e-19) (7.585134e-02 9.916735e-03 3.138845e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.359070e+00 -3.054344e-01 2.535390e+00) (-5.206286e-03 3.982195e-02 6.648877e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
300          	((-6.609851e-01 8.314952e+00 -4.502479e-19) (7.438059e-02 1.120245e-02 4.833555e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.365350e+00 -3.470172e-01 2.489994e+00) (-5.881287e-03 3.904981e-02 1.044751e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
400          	((-6.779578e-01 8.210628e+00 -4.614470e-19) (7.281606e-02 1.171391e-02 5.001301e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.310580e+00 -3.559278e-01 2.426464e+00) (-6.149802e-03 3.822843e-02 1.189073e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
500          	((-6.770176e-01 8.082233e+00 -4.640868e-19) (7.144394e-02 1.180758e-02 4.891004e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.243172e+00 -3.554342e-01 2.356263e+00) (-6.198980e-03 3.750807e-02 1.150946e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
600          	((-6.727821e-01 7.970021e+00 -4.621119e-19) (7.043140e-02 1.171950e-02 4.781436e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.184261e+00 -3.532106e-01 2.293423e+00) (-6.152738e-03 3.697648e-02 1.038441e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
700          	((-6.704385e-01 7.905362e+00 -4.582524e-19) (6.987351e-02 1.160446e-02 4.746606e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.150315e+00 -3.519802e-01 2.254565e+00) (-6.092344e-03 3.668359e-02 9.342478e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
800          	((-6.709316e-01 7.896145e+00 -4.553637e-19) (6.966167e-02 1.152670e-02 4.760113e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.145476e+00 -3.522391e-01 2.245042e+00) (-6.051519e-03 3.657238e-02 8.655204e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
900          	((-6.739409e-01 7.919990e+00 -4.546375e-19) (6.962281e-02 1.149267e-02 4.800113e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.157995e+00 -3.538190e-01 2.252562e+00) (-6.033652e-03 3.655197e-02 8.259540e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
1000         	((-6.781077e-01 7.951279e+00 -4.554137e-19) (6.964568e-02 1.148767e-02 4.853203e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.174422e+00 -3.560066e-01 2.263889e+00) (-6.031026e-03 3.656398e-02 8.039054e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
1100         	((-6.820861e-01 7.978289e+00 -4.566839e-19) (6.967561e-02 1.149568e-02 4.904743e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.188602e+00 -3.580952e-01 2.273704e+00) (-6.035232e-03 3.657970e-02 7.914180e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
1200         	((-6.852510e-01 7.998462e+00 -4.578859e-19) (6.969181e-02 1.150700e-02 4.946377e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.199193e+00 -3.597568e-01 2.281012e+00) (-6.041177e-03 3.658820e-02 7.840682e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
1300         	((-6.875319e-01 8.012296e+00 -4.588406e-19) (6.969282e-02 1.151729e-02 4.976693e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.206455e+00 -3.609543e-01 2.285961e+00) (-6.046575e-03 3.658873e-02 7.793708e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
1400         	((-6.890862e-01 8.021046e+00 -4.595352e-19) (6.968250e-02 1.152488e-02 4.997673e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.211049e+00 -3.617703e-01 2.288979e+00) (-6.050563e-03 3.658331e-02 7.760827e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
1500         	((-6.900791e-01 8.026176e+00 -4.599956e-19) (6.966940e-02 1.152987e-02 5.011215e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.213742e+00 -3.622915e-01 2.290626e+00) (-6.053180e-03 3.657643e-02 7.734367e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
1600         	((-6.906925e-01 8.029003e+00 -4.602798e-19) (6.965646e-02 1.153261e-02 5.019800e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.215227e+00 -3.626136e-01 2.291436e+00) (-6.054622e-03 3.656964e-02 7.712897e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
1700         	((-6.910411e-01 8.030451e+00 -4.604190e-19) (6.964346e-02 1.153374e-02 5.024683e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.215987e+00 -3.627966e-01 2.291819e+00) (-6.055214e-03 3.656282e-02 7.697814e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
1800         	((-6.912418e-01 8.031166e+00 -4.605125e-19) (6.963436e-02 1.153428e-02 5.027945e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.216362e+00 -3.629019e-01 2.291932e+00) (-6.055495e-03 3.655804e-02 7.687727e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
1900         	((-6.913727e-01 8.031650e+00 -4.605732e-19) (6.962855e-02 1.153465e-02 5.030063e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.216616e+00 -3.629707e-01 2.292025e+00) (-6.055691e-03 3.655499e-02 7.681823e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
2000         	((-6.914599e-01 8.031968e+00 -4.606107e-19) (6.962387e-02 1.153488e-02 5.031526e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.216783e+00 -3.630165e-01 2.292082e+00) (-6.055814e-03 3.655253e-02 7.677162e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
2100         	((-6.915213e-01 8.032179e+00 -4.606350e-19) (6.962050e-02 1.153502e-02 5.032537e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.216894e+00 -3.630487e-01 2.292119e+00) (-6.055885e-03 3.655076e-02 7.674009e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
2200         	((-6.915630e-01 8.032349e+00 -4.606523e-19) (6.961798e-02 1.153513e-02 5.033254e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.216983e+00 -3.630706e-01 2.292151e+00) (-6.055945e-03 3.654944e-02 7.671219e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
2300         	((-6.915930e-01 8.032465e+00 -4.606631e-19) (6.961647e-02 1.153520e-02 5.033731e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.217044e+00 -3.630863e-01 2.292172e+00) (-6.055980e-03 3.654865e-02 7.669267e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
2400         	((-6.916177e-01 8.032548e+00 -4.606733e-19) (6.961493e-02 1.153522e-02 5.034146e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.217087e+00 -3.630993e-01 2.292186e+00) (-6.055990e-03 3.654784e-02 7.667850e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
2500         	((-6.916351e-01 8.032602e+00 -4.606800e-19) (6.961391e-02 1.153523e-02 5.034438e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.217116e+00 -3.631084e-01 2.292192e+00) (-6.055998e-03 3.654730e-02 7.666943e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
2600         	((-6.916473e-01 8.032642e+00 -4.606848e-19) (6.961310e-02 1.153524e-02 5.034656e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.217137e+00 -3.631148e-01 2.292197e+00) (-6.056002e-03 3.654688e-02 7.666173e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
2700         	((-6.916563e-01 8.032668e+00 -4.606884e-19) (6.961263e-02 1.153525e-02 5.034803e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.217151e+00 -3.631195e-01 2.292200e+00) (-6.056005e-03 3.654663e-02 7.665863e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
2800         	((-6.916626e-01 8.032693e+00 -4.606905e-19) (6.961211e-02 1.153525e-02 5.034927e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.217164e+00 -3.631229e-01 2.292206e+00) (-6.056007e-03 3.654636e-02 7.665295e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
2900         	((-6.916663e-01 8.032703e+00 -4.606924e-19) (6.961184e-02 1.153526e-02 5.035001e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.217169e+00 -3.631248e-01 2.292205e+00) (-6.056010e-03 3.654622e-02 7.665148e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
3000         	((-6.916668e-01 8.032727e+00 -4.606933e-19) (6.961145e-02 1.153527e-02 5.035034e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.217182e+00 -3.631251e-01 2.292211e+00) (-6.056018e-03 3.654601e-02 7.664344e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
3100         	((-6.916682e-01 8.032726e+00 -4.606927e-19) (6.961139e-02 1.153526e-02 5.035058e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.217181e+00 -3.631258e-01 2.292209e+00) (-6.056010e-03 3.654598e-02 7.664170e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
3200         	((-6.916695e-01 8.032730e+00 -4.606935e-19) (6.961129e-02 1.153526e-02 5.035100e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.217183e+00 -3.631265e-01 2.292210e+00) (-6.056010e-03 3.654593e-02 7.663819e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
3300         	((-6.916704e-01 8.032738e+00 -4.606939e-19) (6.961124e-02 1.153525e-02 5.035120e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.217187e+00 -3.631270e-01 2.292212e+00) (-6.056008e-03 3.654590e-02 7.663764e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
3400         	((-6.916712e-01 8.032738e+00 -4.606942e-19) (6.961118e-02 1.153525e-02 5.035134e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.217187e+00 -3.631274e-01 2.292211e+00) (-6.056007e-03 3.654587e-02 7.663728e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
3500         	((-6.916713e-01 8.032740e+00 -4.606943e-19) (6.961114e-02 1.153525e-02 5.035144e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.217189e+00 -3.631274e-01 2.292212e+00) (-6.056007e-03 3.654585e-02 7.663708e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
3600         	((-6.916718e-01 8.032741e+00 -4.606945e-19) (6.961110e-02 1.153525e-02 5.035151e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.217189e+00 -3.631277e-01 2.292213e+00) (-6.056007e-03 3.654583e-02 7.663702e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
3700         	((-6.916720e-01 8.032743e+00 -4.606945e-19) (6.961107e-02 1.153525e-02 5.035156e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.217190e+00 -3.631278e-01 2.292213e+00) (-6.056008e-03 3.654581e-02 7.663703e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
3800         	((-6.916724e-01 8.032740e+00 -4.606946e-19) (6.961105e-02 1.153525e-02 5.035158e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.217189e+00 -3.631280e-01 2.292212e+00) (-6.056008e-03 3.654580e-02 7.663707e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
3900         	((-6.916712e-01 8.032740e+00 -4.606949e-19) (6.961103e-02 1.153525e-02 5.035160e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.217188e+00 -3.631274e-01 2.292212e+00) (-6.056008e-03 3.654579e-02 7.663711e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
4000         	((-6.916718e-01 8.032740e+00 -4.606947e-19) (6.961102e-02 1.153525e-02 5.035160e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.217188e+00 -3.631277e-01 2.292212e+00) (-6.056008e-03 3.654579e-02 7.663714e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
4100         	((-6.916718e-01 8.032738e+00 -4.606947e-19) (6.961102e-02 1.153525e-02 5.035159e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.217188e+00 -3.631277e-01 2.292211e+00) (-6.056008e-03 3.654578e-02 7.663717e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
4200         	((-6.916714e-01 8.032741e+00 -4.606945e-19) (6.961101e-02 1.153525e-02 5.035158e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.217189e+00 -3.631275e-01 2.292213e+00) (-6.056008e-03 3.654578e-02 7.663719e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
4300         	((-6.916719e-01 8.032739e+00 -4.606947e-19) (6.961101e-02 1.153525e-02 5.035156e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.217188e+00 -3.631278e-01 2.292212e+00) (-6.056008e-03 3.654578e-02 7.663721e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
4400         	((-6.916713e-01 8.032736e+00 -4.606945e-19) (6.961101e-02 1.153525e-02 5.035155e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.217186e+00 -3.631274e-01 2.292210e+00) (-6.056008e-03 3.654578e-02 7.663722e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
