# Forces     
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
100          	((9.296490e-02 2.551247e+00 4.593296e-20) (7.494599e-02 1.640610e-03 -9.164618e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.339405e+00 4.880657e-02 9.932415e-01) (-8.613202e-04 3.934664e-02 -1.037382e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
200          	((4.548541e-02 2.693704e+00 3.232235e-20) (6.355935e-02 2.653300e-03 -8.612778e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.414195e+00 2.387984e-02 9.821569e-01) (-1.392982e-03 3.336866e-02 -5.738719e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
300          	((2.688886e-02 2.657082e+00 3.399625e-20) (6.304667e-02 2.926594e-03 -8.467186e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.394968e+00 1.411665e-02 9.407337e-01) (-1.536462e-03 3.309950e-02 -5.162330e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
400          	((1.795590e-02 2.651749e+00 3.531994e-20) (6.393809e-02 2.913031e-03 -8.475952e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.392168e+00 9.426848e-03 9.229632e-01) (-1.529342e-03 3.356750e-02 -6.153336e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
500          	((1.354516e-02 2.679071e+00 3.483042e-20) (6.474748e-02 2.795409e-03 -8.466589e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.406512e+00 7.111209e-03 9.243280e-01) (-1.467590e-03 3.399243e-02 -7.764444e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
600          	((1.069781e-02 2.780604e+00 3.219828e-20) (6.525121e-02 2.715971e-03 -8.423116e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.459817e+00 5.616349e-03 9.695086e-01) (-1.425885e-03 3.425689e-02 -9.018585e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
700          	((7.061285e-03 2.890403e+00 2.795084e-20) (6.552567e-02 2.713995e-03 -8.365226e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.517461e+00 3.707175e-03 1.016830e+00) (-1.424847e-03 3.440098e-02 -9.678178e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
800          	((3.804022e-03 2.960590e+00 2.458451e-20) (6.566915e-02 2.740602e-03 -8.317953e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.554310e+00 1.997112e-03 1.044555e+00) (-1.438816e-03 3.447630e-02 -1.000173e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
900          	((1.643432e-03 2.999202e+00 2.255656e-20) (6.574105e-02 2.762607e-03 -8.287698e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.574581e+00 8.628020e-04 1.058684e+00) (-1.450369e-03 3.451405e-02 -1.019579e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1000         	((2.917739e-04 3.020878e+00 2.139920e-20) (6.577663e-02 2.773097e-03 -8.269424e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.585961e+00 1.531813e-04 1.066006e+00) (-1.455876e-03 3.453273e-02 -1.035412e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
