# Force coefficients
# liftDir    : (8.700000e-02 9.962000e-01 0.000000e+00)
# dragDir    : (9.962000e-01 8.700000e-02 0.000000e+00)
# pitchAxis  : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf    : 1.500000e+01
# lRef       : 5.000000e-01
# Aref       : 1.000000e-01
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
100          	6.710966e-03	2.951257e-02	2.655848e-01	1.395034e-01	1.260815e-01
200          	-1.565095e-05	2.443032e-02	2.799100e-01	1.399393e-01	1.399706e-01
300          	-1.889480e-03	2.227848e-02	2.754719e-01	1.358464e-01	1.396254e-01
400          	-2.633605e-03	2.139292e-02	2.733542e-01	1.340435e-01	1.393107e-01
500          	-3.069743e-03	2.097061e-02	2.732205e-01	1.335405e-01	1.396800e-01
600          	-3.464344e-03	2.135429e-02	2.818680e-01	1.374697e-01	1.443983e-01
700          	-4.050878e-03	2.173730e-02	2.925772e-01	1.422377e-01	1.503395e-01
800          	-4.581014e-03	2.186860e-02	2.997959e-01	1.453170e-01	1.544790e-01
900          	-4.937794e-03	2.189149e-02	3.039045e-01	1.470145e-01	1.568901e-01
1000         	-5.160994e-03	2.188090e-02	3.061897e-01	1.479338e-01	1.582558e-01
1100         	-5.302423e-03	2.186452e-02	3.075268e-01	1.484610e-01	1.590658e-01
1200         	-5.395874e-03	2.186129e-02	3.084973e-01	1.488528e-01	1.596445e-01
1300         	-5.464226e-03	2.186839e-02	3.093155e-01	1.491935e-01	1.601220e-01
1400         	-5.517289e-03	2.187604e-02	3.099752e-01	1.494703e-01	1.605049e-01
1500         	-5.557445e-03	2.188089e-02	3.104636e-01	1.496744e-01	1.607892e-01
1600         	-5.586471e-03	2.188331e-02	3.108043e-01	1.498157e-01	1.609886e-01
1700         	-5.606938e-03	2.188421e-02	3.110353e-01	1.499107e-01	1.611246e-01
1800         	-5.621155e-03	2.188459e-02	3.111929e-01	1.499753e-01	1.612176e-01
1900         	-5.631054e-03	2.188498e-02	3.113040e-01	1.500210e-01	1.612831e-01
2000         	-5.637659e-03	2.188554e-02	3.113816e-01	1.500532e-01	1.613285e-01
2100         	-5.642262e-03	2.188618e-02	3.114386e-01	1.500771e-01	1.613616e-01
2200         	-5.646015e-03	2.188611e-02	3.114782e-01	1.500931e-01	1.613851e-01
2300         	-5.648359e-03	2.188615e-02	3.115040e-01	1.501037e-01	1.614004e-01
2400         	-5.650025e-03	2.188625e-02	3.115231e-01	1.501115e-01	1.614116e-01
2500         	-5.651335e-03	2.188631e-02	3.115379e-01	1.501176e-01	1.614203e-01
2600         	-5.652359e-03	2.188631e-02	3.115490e-01	1.501221e-01	1.614268e-01
2700         	-5.653129e-03	2.188637e-02	3.115580e-01	1.501259e-01	1.614321e-01
2800         	-5.653760e-03	2.188637e-02	3.115647e-01	1.501286e-01	1.614361e-01
2900         	-5.654200e-03	2.188638e-02	3.115696e-01	1.501306e-01	1.614390e-01
3000         	-5.654532e-03	2.188645e-02	3.115740e-01	1.501325e-01	1.614415e-01
3100         	-5.654833e-03	2.188649e-02	3.115777e-01	1.501340e-01	1.614437e-01
3200         	-5.655081e-03	2.188649e-02	3.115803e-01	1.501351e-01	1.614453e-01
3300         	-5.655278e-03	2.188651e-02	3.115827e-01	1.501361e-01	1.614466e-01
3400         	-5.655431e-03	2.188652e-02	3.115845e-01	1.501368e-01	1.614477e-01
3500         	-5.655560e-03	2.188651e-02	3.115858e-01	1.501373e-01	1.614484e-01
3600         	-5.655648e-03	2.188653e-02	3.115870e-01	1.501379e-01	1.614492e-01
