# Force coefficients
# liftDir    : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis  : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf    : 1.500000e+01
# lRef       : 5.000000e-01
# Aref       : 4.000000e-01
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
100          	6.371681e-03	6.068267e-03	1.371985e-02	1.323160e-02	4.882428e-04
200          	6.125636e-03	5.833939e-03	1.551839e-02	1.388483e-02	1.633558e-03
300          	6.050743e-03	5.762613e-03	1.623948e-02	1.417048e-02	2.068998e-03
400          	6.036819e-03	5.749351e-03	1.695665e-02	1.451514e-02	2.441507e-03
500          	6.038577e-03	5.751026e-03	1.755909e-02	1.481812e-02	2.740966e-03
600          	6.039826e-03	5.752215e-03	1.797877e-02	1.502921e-02	2.949558e-03
700          	6.039538e-03	5.751941e-03	1.824104e-02	1.516006e-02	3.080980e-03
800          	6.038922e-03	5.751355e-03	1.839861e-02	1.523823e-02	3.160382e-03
900          	6.038353e-03	5.750812e-03	1.849378e-02	1.528524e-02	3.208539e-03
1000         	6.038087e-03	5.750559e-03	1.855270e-02	1.531444e-02	3.238261e-03
1100         	6.037889e-03	5.750371e-03	1.859034e-02	1.533306e-02	3.257283e-03
1200         	6.037764e-03	5.750251e-03	1.861461e-02	1.534507e-02	3.269543e-03
1300         	6.037719e-03	5.750208e-03	1.862925e-02	1.535235e-02	3.276908e-03
1400         	6.037681e-03	5.750172e-03	1.863684e-02	1.535610e-02	3.280739e-03
1500         	6.037623e-03	5.750117e-03	1.864268e-02	1.535896e-02	3.283719e-03
1600         	6.037691e-03	5.750182e-03	1.864650e-02	1.536094e-02	3.285561e-03
1700         	6.037575e-03	5.750071e-03	1.864969e-02	1.536242e-02	3.287270e-03
1800         	6.037545e-03	5.750043e-03	1.865203e-02	1.536356e-02	3.288469e-03
1900         	6.037595e-03	5.750091e-03	1.865373e-02	1.536446e-02	3.289270e-03
2000         	6.037536e-03	5.750035e-03	1.865472e-02	1.536490e-02	3.289822e-03
2100         	6.037502e-03	5.750002e-03	1.865566e-02	1.536533e-02	3.290328e-03
2200         	6.037543e-03	5.750041e-03	1.865610e-02	1.536559e-02	3.290504e-03
2300         	6.037525e-03	5.750023e-03	1.865664e-02	1.536584e-02	3.290796e-03
2400         	6.037640e-03	5.750134e-03	1.865708e-02	1.536618e-02	3.290901e-03
2500         	6.037627e-03	5.750121e-03	1.865732e-02	1.536629e-02	3.291032e-03
2600         	6.037511e-03	5.750010e-03	1.865733e-02	1.536617e-02	3.291152e-03
2700         	6.037513e-03	5.750012e-03	1.865746e-02	1.536624e-02	3.291218e-03
2800         	6.037627e-03	5.750121e-03	1.865766e-02	1.536646e-02	3.291203e-03
2900         	6.037602e-03	5.750097e-03	1.865760e-02	1.536640e-02	3.291199e-03
3000         	6.037594e-03	5.750090e-03	1.865771e-02	1.536645e-02	3.291259e-03
3100         	6.037577e-03	5.750074e-03	1.865784e-02	1.536650e-02	3.291341e-03
3200         	6.037611e-03	5.750106e-03	1.865788e-02	1.536655e-02	3.291327e-03
3300         	6.037558e-03	5.750055e-03	1.865782e-02	1.536647e-02	3.291351e-03
3400         	6.037507e-03	5.750006e-03	1.865775e-02	1.536638e-02	3.291368e-03
3500         	6.037527e-03	5.750025e-03	1.865781e-02	1.536643e-02	3.291376e-03
3600         	6.037633e-03	5.750127e-03	1.865793e-02	1.536660e-02	3.291334e-03
