# Forces     
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
100          	((2.391134e-01 7.561776e-01 1.433945e-19) (9.539979e-02 1.289594e-04 3.526416e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.969932e-01 1.255346e-01 4.576704e-01) (-6.770369e-05 5.008489e-02 -1.573831e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
200          	((2.286526e-01 8.551623e-01 1.495336e-19) (9.294326e-02 2.888059e-04 3.559280e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.489602e-01 1.200426e-01 4.832695e-01) (-1.516231e-04 4.879521e-02 -1.572266e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
300          	((2.246398e-01 8.948975e-01 1.524815e-19) (9.302428e-02 3.039401e-04 3.563376e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.698212e-01 1.179359e-01 4.946415e-01) (-1.595685e-04 4.883775e-02 -1.642258e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
400          	((2.234463e-01 9.344671e-01 1.531543e-19) (9.348675e-02 2.683438e-04 3.559756e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.905952e-01 1.173093e-01 5.100723e-01) (-1.408805e-04 4.908054e-02 -1.721401e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
500          	((2.232404e-01 9.677022e-01 1.537162e-19) (9.378494e-02 2.424776e-04 3.554239e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.080437e-01 1.172012e-01 5.236987e-01) (-1.273007e-04 4.923709e-02 -1.776187e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
600          	((2.231773e-01 9.908476e-01 1.541388e-19) (9.391358e-02 2.319934e-04 3.549641e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.201950e-01 1.171681e-01 5.330904e-01) (-1.217965e-04 4.930463e-02 -1.807447e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
700          	((2.231111e-01 1.005308e+00 1.544309e-19) (9.396468e-02 2.290481e-04 3.546617e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.277868e-01 1.171333e-01 5.388345e-01) (-1.202503e-04 4.933146e-02 -1.824543e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
800          	((2.230550e-01 1.013995e+00 1.546236e-19) (9.398839e-02 2.282955e-04 3.544861e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.323474e-01 1.171039e-01 5.422147e-01) (-1.198552e-04 4.934391e-02 -1.834432e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
900          	((2.230130e-01 1.019242e+00 1.547468e-19) (9.400048e-02 2.277733e-04 3.543738e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.351021e-01 1.170818e-01 5.442295e-01) (-1.195810e-04 4.935025e-02 -1.840696e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1000         	((2.229912e-01 1.022490e+00 1.548245e-19) (9.400837e-02 2.269518e-04 3.543086e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.368075e-01 1.170704e-01 5.454691e-01) (-1.191497e-04 4.935439e-02 -1.845095e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1100         	((2.229763e-01 1.024566e+00 1.548753e-19) (9.401289e-02 2.265387e-04 3.542817e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.378973e-01 1.170626e-01 5.462676e-01) (-1.189328e-04 4.935677e-02 -1.847735e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1200         	((2.229670e-01 1.025904e+00 1.549060e-19) (9.401558e-02 2.262938e-04 3.542392e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.385998e-01 1.170577e-01 5.467836e-01) (-1.188043e-04 4.935818e-02 -1.849379e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1300         	((2.229627e-01 1.026711e+00 1.549271e-19) (9.401750e-02 2.263661e-04 3.542313e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.390234e-01 1.170554e-01 5.470952e-01) (-1.188422e-04 4.935919e-02 -1.850139e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1400         	((2.229606e-01 1.027130e+00 1.549367e-19) (9.401760e-02 2.261656e-04 3.542141e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.392431e-01 1.170543e-01 5.472562e-01) (-1.187369e-04 4.935924e-02 -1.850799e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1500         	((2.229567e-01 1.027452e+00 1.549435e-19) (9.401853e-02 2.261059e-04 3.542125e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.394122e-01 1.170523e-01 5.473892e-01) (-1.187056e-04 4.935973e-02 -1.851172e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1600         	((2.229595e-01 1.027663e+00 1.549494e-19) (9.401930e-02 2.259622e-04 3.542113e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.395229e-01 1.170537e-01 5.474627e-01) (-1.186301e-04 4.936013e-02 -1.851555e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1700         	((2.229545e-01 1.027838e+00 1.549534e-19) (9.401822e-02 2.259741e-04 3.542061e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.396150e-01 1.170511e-01 5.475348e-01) (-1.186364e-04 4.935956e-02 -1.851719e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1800         	((2.229519e-01 1.027967e+00 1.549561e-19) (9.401919e-02 2.259604e-04 3.542019e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.396827e-01 1.170498e-01 5.475870e-01) (-1.186292e-04 4.936008e-02 -1.851857e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1900         	((2.229536e-01 1.028061e+00 1.549583e-19) (9.402019e-02 2.261769e-04 3.541985e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.397319e-01 1.170506e-01 5.476249e-01) (-1.187429e-04 4.936060e-02 -1.851734e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
2000         	((2.229515e-01 1.028115e+00 1.549598e-19) (9.401917e-02 2.259244e-04 3.541923e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.397606e-01 1.170495e-01 5.476420e-01) (-1.186103e-04 4.936006e-02 -1.852055e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
2100         	((2.229499e-01 1.028167e+00 1.549603e-19) (9.401893e-02 2.258604e-04 3.541973e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.397879e-01 1.170487e-01 5.476656e-01) (-1.185767e-04 4.935994e-02 -1.852168e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
2200         	((2.229525e-01 1.028191e+00 1.549613e-19) (9.401856e-02 2.258377e-04 3.541922e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.398005e-01 1.170500e-01 5.476701e-01) (-1.185648e-04 4.935974e-02 -1.852228e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
2300         	((2.229514e-01 1.028221e+00 1.549618e-19) (9.401866e-02 2.258336e-04 3.541989e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.398163e-01 1.170495e-01 5.476834e-01) (-1.185626e-04 4.935980e-02 -1.852258e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
2400         	((2.229551e-01 1.028245e+00 1.549626e-19) (9.402105e-02 2.261371e-04 3.541970e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.398289e-01 1.170514e-01 5.476946e-01) (-1.187220e-04 4.936105e-02 -1.851972e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
2500         	((2.229547e-01 1.028259e+00 1.549627e-19) (9.402072e-02 2.260238e-04 3.542003e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.398358e-01 1.170512e-01 5.477001e-01) (-1.186625e-04 4.936088e-02 -1.852099e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
2600         	((2.229505e-01 1.028259e+00 1.549628e-19) (9.401883e-02 2.257206e-04 3.541976e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.398362e-01 1.170490e-01 5.476972e-01) (-1.185033e-04 4.935989e-02 -1.852413e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
2700         	((2.229499e-01 1.028267e+00 1.549632e-19) (9.401949e-02 2.257655e-04 3.542050e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.398401e-01 1.170487e-01 5.477017e-01) (-1.185269e-04 4.936023e-02 -1.852375e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
2800         	((2.229549e-01 1.028278e+00 1.549631e-19) (9.402052e-02 2.260307e-04 3.541912e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.398457e-01 1.170513e-01 5.477063e-01) (-1.186661e-04 4.936077e-02 -1.852115e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
2900         	((2.229545e-01 1.028274e+00 1.549634e-19) (9.401962e-02 2.260659e-04 3.541861e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.398440e-01 1.170511e-01 5.477018e-01) (-1.186846e-04 4.936030e-02 -1.852085e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
3000         	((2.229544e-01 1.028280e+00 1.549632e-19) (9.401934e-02 2.259877e-04 3.541872e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.398470e-01 1.170510e-01 5.477054e-01) (-1.186435e-04 4.936016e-02 -1.852166e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
3100         	((2.229523e-01 1.028287e+00 1.549635e-19) (9.402051e-02 2.259003e-04 3.542047e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.398509e-01 1.170500e-01 5.477117e-01) (-1.185977e-04 4.936077e-02 -1.852253e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
3200         	((2.229537e-01 1.028289e+00 1.549637e-19) (9.402085e-02 2.260688e-04 3.541980e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.398519e-01 1.170507e-01 5.477116e-01) (-1.186861e-04 4.936095e-02 -1.852086e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
3300         	((2.229523e-01 1.028286e+00 1.549634e-19) (9.401946e-02 2.259949e-04 3.541817e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.398503e-01 1.170500e-01 5.477086e-01) (-1.186473e-04 4.936021e-02 -1.852163e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
3400         	((2.229500e-01 1.028283e+00 1.549633e-19) (9.401908e-02 2.256836e-04 3.542003e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.398484e-01 1.170488e-01 5.477069e-01) (-1.184839e-04 4.936002e-02 -1.852474e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
3500         	((2.229503e-01 1.028286e+00 1.549633e-19) (9.401987e-02 2.256315e-04 3.542100e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.398501e-01 1.170489e-01 5.477098e-01) (-1.184565e-04 4.936043e-02 -1.852527e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
3600         	((2.229549e-01 1.028293e+00 1.549636e-19) (9.402087e-02 2.261028e-04 3.541935e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.398536e-01 1.170513e-01 5.477131e-01) (-1.187039e-04 4.936096e-02 -1.852055e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
